string	string	string	string[]	int[]	float	float	float	float	float	float	float	float	bool	bool	float	float	float	bool	int	int	float	int	float	int	float
ExtendedQuickDrawMagSubmachine	ExtendedQuickDrawMagSubmachine	ExtendedQuickDrawMagSubmachine	MicroUZI|UMP9|Vector	35|40|35	0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagSubmachine_Lv4	ExtendedQuickDrawMagSubmachine_Lv4	ExtendedQuickDrawMagSubmachine_Lv4	MicroUZI|UMP9|Vector	40|45|40	0.7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagTommyGun	ExtendedQuickDrawMagSubmachine	ExtendedQuickDrawMagTommyGun	MicroUZI|UMP9|Vector|TommyGun	35|40|35|50	0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedQuickDrawMagTommyGun_Lv4	ExtendedQuickDrawMagSubmachine_Lv4	ExtendedQuickDrawMagTommyGun_Lv4	MicroUZI|UMP9|Vector|TommyGun	35|40|40|55	0.7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickDrawMagAKM	QuickDrawMagAssaultRifles	QuickDrawMagAKM			0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickDrawMagAssaultRifles	QuickDrawMagAssaultRifles	QuickDrawMagAssaultRifles			0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickDrawMagPistols	QuickDrawMagPistols	QuickDrawMagPistols			0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickDrawMagSinperRifles	QuickDrawMagSinperRifles	QuickDrawMagSinperRifles			0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickDrawMagSubmachine	QuickDrawMagSubmachine	QuickDrawMagSubmachine			0.85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Choke	Choke	Choke			0	0.18	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CompensatorAssaultRifles	CompensatorAssaultRifles	CompensatorAssaultRifles			0	0.25	0.15	0.1	0	0	0	1	1	0	0.1	0	0	0	0	0	0	0	0	0	0
CompensatorSniperRifles	CompensatorSniperRifles	CompensatorSniperRifles			0	0.15	0.2	0.2	0	0	0	1	1	0	0.1	0	0	0	0	0	0	0	0	0	0
CompensatorSubmachine	CompensatorSubmachine	CompensatorSubmachine			0	0.15	0.2	0.2	0	0	0	1	1	0	0.18	0	0	0	0	0	0	0	0	0	0
FlashHiderAssaultRifles	FlashHiderAssaultRifles	FlashHiderAssaultRifles			0	0	0.1	0.1	0	0	0	1	0	0	0.15	0	0	0	0	0	0	0	0	0	0
FlashHiderSniperRifles	FlashHiderSniperRifles	FlashHiderSniperRifles			0	0	0.1	0.1	0	0	0	1	0	0	0.2	0	0	0	0	0	0	0	0	0	0
FlashHiderSubmachine	FlashHiderSubmachine	FlashHiderSubmachine			0	0	0.1	0.1	0	0	0	1	0	0	0.2	0	0	0	0	0	0	0	0	0	0
SuppressorAssaultRifles	SuppressorAssaultRifles	SuppressorAssaultRifles			0	0.05	0	0	0	0	0	0.5	1	1	0.35	0	0	0	0	0	0	0	0	0	0
SuppressorAssaultRifles_Lv4	SuppressorAssaultRifles_Lv4	SuppressorAssaultRifles_Lv4			0	0.25	0.15	0.1	0	0	0	0.5	1	1	0.35	0	0	0	0	0	0	0	0	0	0
SuppressorPistols	SuppressorPistols	SuppressorPistols			0	0.05	0	0	0	0	0	0.5	1	1	0.28	0	0	0	0	0	0	0	0	0	0
SuppressorSinperRifles	SuppressorSinperRifles	SuppressorSinperRifles			0	0.05	0	0	0	0	0	0.5	1	1	0.23	0	0	0	0	0	0	0	0	0	0
SuppressorSinperRifles_Lv4	SuppressorSinperRifles_Lv4	SuppressorSinperRifles_Lv4			0	0.15	0.2	0.2	0	0	0	0.5	1	1	0.23	0	0	0	0	0	0	0	0	0	0
SuppressorSubmachine	SuppressorSubmachine	SuppressorSubmachine			0	0.05	0	0	0	0	0	0.5	1	1	0.3	0	0	0	0	0	0	0	0	0	0
SuppressorSubmachine_Lv4	SuppressorSubmachine_Lv4	SuppressorSubmachine_Lv4			0	0.15	0.2	0.2	0	0	0	0.5	1	1	0.3	0	0	0	0	0	0	0	0	0	0
BulletLoops98k	BulletLoops98k	BulletLoops98k			0.8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
BulletLoopsS1897S686	BulletLoopsS1897S686	BulletLoopsS1897S686			0.8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CheekPad	CheekPad	CheekPad			0	0	0.2	0.2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CheekPad_Lv4	CheekPad_Lv4	CheekPad_Lv4			0	0	0.25	0.25	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
StockMicroUZI	StockMicroUZI	StockMicroUZI			0	0	0.2	0.2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TactialStock	TactialStock	TactialStock			0	0	0.2	0.2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2x	2x	2x			0	0	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
3x	3x	3x			0	0	0	0	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
4x	4x	4x			0	0	0	0	4	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
4x_762Assualt	4x	4x_762Assualt			0	0	0	0	4	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
4x_Sniper	4x	4x_Sniper			0	0	0	0	4	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
6x	6x	6x			0	0	0	0	6	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
8x	8x	8x			0	0	0	0	8	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
15x	15x	15x			0	0	0	0	15	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HD	HD	HD			0	0	0	0	1.5	1.5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QX	QX	QX			0	0	0	0	1.5	1.5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CapacityChip	CapacityChip	CapacityChip	FocusGun|RailGun|ParticleCannon|EnergySmg	60|20|24|60	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PreciseChip	PreciseChip	PreciseChip			0	0.25	0	0	0	0	0	1	1	0	0.1	0	0	0	0	0	0	0	0	0	0
CapacityChipZiZiBen	CapacityChip	CapacityChipZiZiBen	ZiZiBeng|HandCannon	7|30	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PreciseChipZiZiBeng	PreciseChip	PreciseChipZiZiBeng			0	0.25	0	0	0	0	0	1	1	0	0.1	0	0	0	0	0	0	0	0	0	0
CapacityChipHandCannon	CapacityChip	CapacityChipHandCannon	HandCannon	30	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PreciseChipHandCannon	PreciseChip	PreciseChipHandCannon			0	0.25	0	0	0	0	0	1	1	0	0.1	0	0	0	0	0	0	0	0	0	0
DamageBoostChipZZB	DamageBoostChip	DamageBoostChipZZB			0	0	0	0	0	0	0	1	1	0	0	0	1.2	0	0	0	0	0	0	0	0
DamageBoostChipParticleCannon	DamageBoostChip	DamageBoostChipParticleCannon			0	0	0	0	0	0	0	1	1	0	0	0	1.2	1	0	0	0	0	0	0	0
DamageBoostChipHandCannon	DamageBoostChip	DamageBoostChipHandCannon			0	0	0	0	0	0	0	1	1	0	0	0	1.06	0	0	0	0	0	0	0	0
DamageBoostChipFocusGun	DamageBoostChip	DamageBoostChipFocusGun			0	0	0	0	0	0	0	1	1	0	0	0	1.089	0	0	0	0	0	0	0	0
DamageBoostChipRailGun	DamageBoostChip	DamageBoostChipRailGun			0	0	0	0	0	0	0	1	1	0	0	0	1.125	0	0	0	0	0	0	0	0
DamageBoostChipEnergySmg	DamageBoostChip	DamageBoostChipEnergySmg			0	0	0	0	0	0	0	1	1	0	0	0	1.08	0	0	0	0	0	0	0	0
DamageBoostChipEnergyRifle	DamageBoostChip	DamageBoostChipEnergyRifle			0	0	0	0	0	0	0	1	1	0	0	0	1.08	0	0	0	0	0	0	0	0
RpmBoostChipZZB	RpmBoostChip	RpmBoostChipZZB			0	0	0	0	0	0	0	1	1	0	0	0.8	0	0	0	0	0	0	0	0	0
RpmBoostChipParticleCannon	RpmBoostChip	RpmBoostChipParticleCannon			0	0	0	0	0	0	0	1	1	0	0	0.8	0	1	0	0	0	0	0	0	0
RpmBoostChipHandCannon	RpmBoostChip	RpmBoostChipHandCannon			0	0	0	0	0	0	0	1	1	0	0	0.75	0	0	0	0	0	0	0	0	0
RpmBoostChipFocusGun	RpmBoostChip	RpmBoostChipFocusGun			0	0	0	0	0	0	0	1	1	0	0	0.75	0	0	0	0	0	0	0	0	0
RpmBoostChipRailGun	RpmBoostChip	RpmBoostChipRailGun			0	0	0	0	0	0	0	1	1	0	0	0.75	0	0	0	0	0	0	0	0	0
RpmBoostChipEnergySmg	RpmBoostChip	RpmBoostChipEnergySmg			0	0	0	0	0	0	0	1	1	0	0	0.86	0	0	0	0	0	0	0	0	0
RpmBoostChipEnergyRifle	RpmBoostChip	RpmBoostChipEnergyRifle			0	0	0	0	0	0	0	1	1	0	0	0.91	0	0	0	0	0	0	0	0	0
ExtendedChipFocusGun	ExtendedChip	ExtendedChip	FocusGun	60	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedChipRailGun	ExtendedChip	ExtendedChip	RailGun	20	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedChipParticleCannon	ExtendedChip	ExtendedChip	ParticleCannon	24	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedChipEnergySmg	ExtendedChip	ExtendedChip	EnergySmg	60	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedChipZiZiBeng	ExtendedChip	ExtendedChip	ZiZiBeng	7	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedChipHandCannon	ExtendedChip	ExtendedChip	HandCannon	30	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedChipVictoryPistol	ExtendedChip	ExtendedChip	VictoryPistol	25	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ExtendedChipEnergyRifle	ExtendedChip	ExtendedChip	EnergyRifle	40	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipFocusGun	QuickChip	QuickChip	FocusGun	50	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipRailGun	QuickChip	QuickChip	RailGun	10	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipParticleCannon	QuickChip	QuickChip	ParticleCannon	16	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipEnergySmg	QuickChip	QuickChip	EnergySmg	50	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipZiZiBeng	QuickChip	QuickChip	ZiZiBeng	5	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipHandCannon	QuickChip	QuickChip	HandCannon	20	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipVictoryPistol	QuickChip	QuickChip	VictoryPistol	15	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
QuickChipEnergyRifle	QuickChip	QuickChip	EnergyRifle	30	0.65	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
VerticalChip	VerticalChip	VerticalChip			0	0	0.15	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HorizontalChip	HorizontalChip	HorizontalChip			0	0	0	0.3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
LaserChip	LaserChip	LaserChip			0	0.15	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TurboChip	TurboChip	TurboChip			0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
ZiziChip	ZiziChip	ZiziChip			0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	0
BoomerChip	BoomerChip	BoomerChip			0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2	2	0	0
BoomerChipEnergyRifle	BoomerChip	BoomerChip			0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0
ChargeChip	ChargeChip	ChargeChip			0	0	0	0	0	0	0	1	1	0	0	0	1.55	0	0	0	0	0	0	0	0.2
